species,bill_length_mm,bill_depth_mm
Gentoo,46.3,15.8
Gentoo,42.9,13.1
Gentoo,46.1,15.1
Gentoo,44.5,14.3
Gentoo,47.8,15
Gentoo,48.2,14.3
Gentoo,50,15.3
Gentoo,47.3,15.3
Gentoo,42.8,14.2
Gentoo,45.1,14.5
Gentoo,59.6,17
Gentoo,49.1,14.8
Gentoo,48.4,16.3
Gentoo,42.6,13.7
Gentoo,44.4,17.3
Gentoo,44,13.6
Gentoo,48.7,15.7
Gentoo,42.7,13.7
Gentoo,49.6,16
Gentoo,45.3,13.7
Gentoo,49.6,15
Gentoo,50.5,15.9
Gentoo,43.6,13.9
Gentoo,45.5,13.9
Gentoo,50.5,15.9
Gentoo,44.9,13.3
Gentoo,45.2,15.8
Gentoo,46.6,14.2
Gentoo,48.5,14.1
Gentoo,45.1,14.4
Gentoo,50.1,15
Gentoo,46.5,14.4
Gentoo,45,15.4
Gentoo,43.8,13.9
Gentoo,45.5,15
Gentoo,43.2,14.5
Gentoo,50.4,15.3
Gentoo,45.3,13.8
Gentoo,46.2,14.9
Gentoo,45.7,13.9
Gentoo,54.3,15.7
Gentoo,45.8,14.2
Gentoo,49.8,16.8
Gentoo,46.2,14.4
Gentoo,49.5,16.2
Gentoo,43.5,14.2
Gentoo,50.7,15
Gentoo,47.7,15
Gentoo,46.4,15.6
Gentoo,48.2,15.6
Gentoo,46.5,14.8
Gentoo,46.4,15
Gentoo,48.6,16
Gentoo,47.5,14.2
Gentoo,51.1,16.3
Gentoo,45.2,13.8
Gentoo,45.2,16.4
Gentoo,49.1,14.5
Gentoo,52.5,15.6
Gentoo,47.4,14.6
Gentoo,50,15.9
Gentoo,44.9,13.8
Gentoo,50.8,17.3
Gentoo,43.4,14.4
Gentoo,51.3,14.2
Gentoo,47.5,14
Gentoo,52.1,17
Gentoo,47.5,15
Gentoo,52.2,17.1
Gentoo,45.5,14.5
Gentoo,49.5,16.1
Gentoo,44.5,14.7
Gentoo,50.8,15.7
Gentoo,49.4,15.8
Gentoo,46.9,14.6
Gentoo,48.4,14.4
Gentoo,51.1,16.5
Gentoo,48.5,15
Gentoo,55.9,17
Gentoo,47.2,15.5
Gentoo,49.1,15
Gentoo,47.3,13.8
Gentoo,46.8,16.1
Gentoo,41.7,14.7
Gentoo,53.4,15.8
Gentoo,43.3,14
Gentoo,48.1,15.1
Gentoo,50.5,15.2
Gentoo,49.8,15.9
Gentoo,43.5,15.2
Gentoo,51.5,16.3
Gentoo,46.2,14.1
Gentoo,55.1,16
Gentoo,44.5,15.7
Gentoo,48.8,16.2
Gentoo,47.2,13.7
Gentoo,NA,NA
Gentoo,46.8,14.3
Gentoo,50.4,15.7
Gentoo,45.2,14.8
Gentoo,49.9,16.1
Chinstrap,46.5,17.9
Chinstrap,50,19.5
Chinstrap,51.3,19.2
Chinstrap,45.4,18.7
Chinstrap,52.7,19.8
Chinstrap,45.2,17.8
Chinstrap,46.1,18.2
Chinstrap,51.3,18.2
Chinstrap,46,18.9
Chinstrap,51.3,19.9
Chinstrap,46.6,17.8
Chinstrap,51.7,20.3
Chinstrap,47,17.3
Chinstrap,52,18.1
Chinstrap,45.9,17.1
Chinstrap,50.5,19.6
Chinstrap,50.3,20
Chinstrap,58,17.8
Chinstrap,46.4,18.6
Chinstrap,49.2,18.2
Chinstrap,42.4,17.3
Chinstrap,48.5,17.5
Chinstrap,43.2,16.6
Chinstrap,50.6,19.4
Chinstrap,46.7,17.9
Chinstrap,52,19
Chinstrap,50.5,18.4
Chinstrap,49.5,19
Chinstrap,46.4,17.8
Chinstrap,52.8,20
Chinstrap,40.9,16.6
Chinstrap,54.2,20.8
Chinstrap,42.5,16.7
Chinstrap,51,18.8
Chinstrap,49.7,18.6
Chinstrap,47.5,16.8
Chinstrap,47.6,18.3
Chinstrap,52,20.7
Chinstrap,46.9,16.6
Chinstrap,53.5,19.9
Chinstrap,49,19.5
Chinstrap,46.2,17.5
Chinstrap,50.9,19.1
Chinstrap,45.5,17
Chinstrap,50.9,17.9
Chinstrap,50.8,18.5
Chinstrap,50.1,17.9
Chinstrap,49,19.6
Chinstrap,51.5,18.7
Chinstrap,49.8,17.3
Chinstrap,48.1,16.4
Chinstrap,51.4,19
Chinstrap,45.7,17.3
Chinstrap,50.7,19.7
Chinstrap,42.5,17.3
Chinstrap,52.2,18.8
Chinstrap,45.2,16.6
Chinstrap,49.3,19.9
Chinstrap,50.2,18.8
Chinstrap,45.6,19.4
Chinstrap,51.9,19.5
Chinstrap,46.8,16.5
Chinstrap,45.7,17
Chinstrap,55.8,19.8
Chinstrap,43.5,18.1
Chinstrap,49.6,18.2
Chinstrap,50.8,19
Chinstrap,50.2,18.7
